sex,age,geo,year,population,id
Females,Total,Belgium,1995,5175903,134
Females,Total,Belgium,1996,5184262,135
Females,Total,Belgium,1997,5198446,136
Females,Total,Belgium,1998,5209592,137
Females,Total,Belgium,1999,5220034,138
Females,Total,Belgium,2000,5233071,139
Females,Total,Belgium,2001,5245395,140
Females,Total,Belgium,2002,5267437,141
Females,Total,Belgium,2003,5288959,142
Females,Total,Belgium,2004,5309245,143
Females,Total,Belgium,2005,5334527,144
Females,Total,Belgium,2006,5367561,145
Females,Total,Belgium,2007,5403126,146
Females,Total,Belgium,2008,5442557,147
Females,Total,Belgium,2009,5484429,148
Females,Total,Belgium,2010,5527684,149
Females,Total,Belgium,2011,5598920,150
Females,Total,Belgium,2012,5635601,151
Females,Total,Belgium,2013,5665118,152
Females,Total,Belgium,2014,5687048,153
Females,Total,Belgium,2015,5713206,154
Females,Total,Belgium,2016,5741853,155
Females,Total,Belgium,2017,5762455,156
Females,Total,Belgium,2018,5784371,157
Females,Total,Belgium,2019,5810693,158
Females,Total,Belgium,2020,5841215,159
Females,Total,Belgium,2021,5854293,160
Females,Total,Belgium,2022,5883978,161
Females,Total,Belgium,2023,5946649,162
Females,Total,Belgium,2024,5981093,163
Females,Total,Bulgaria,1995,4297452,164
Females,Total,Bulgaria,1996,4281347,165
Females,Total,Bulgaria,1997,4263435,166
Females,Total,Bulgaria,1998,4238235,167
Females,Total,Bulgaria,1999,4216300,168
Females,Total,Bulgaria,2000,4199715,169
Females,Total,Bulgaria,2001,4182045,170
Females,Total,Bulgaria,2002,4035676,171
Females,Total,Bulgaria,2003,4003292,172
Females,Total,Bulgaria,2004,3973019,173
Females,Total,Bulgaria,2005,3944453,174
Females,Total,Bulgaria,2006,3914757,175
Females,Total,Bulgaria,2007,3886094,176
Females,Total,Bulgaria,2008,3857635,177
Females,Total,Bulgaria,2009,3831264,178
Females,Total,Bulgaria,2010,3807808,179
Females,Total,Bulgaria,2011,3780505,180
Females,Total,Bulgaria,2012,3760457,181
Females,Total,Bulgaria,2013,3701945,182
Females,Total,Bulgaria,2014,3662824,183
Females,Total,Bulgaria,2015,3621883,184
Females,Total,Bulgaria,2016,3578998,185
Females,Total,Bulgaria,2017,3537549,186
Females,Total,Bulgaria,2018,3494184,187
Females,Total,Bulgaria,2019,3450251,188
Females,Total,Bulgaria,2020,3405861,189
Females,Total,Bulgaria,2021,3389807,190
Females,Total,Bulgaria,2022,3364303,191
Females,Total,Bulgaria,2023,3348207,192
Females,Total,Bulgaria,2024,3347783,193
Females,Total,Belarus,2000,5316268,194
Females,Total,Belarus,2001,5302718,195
Females,Total,Belarus,2002,5284465,196
Females,Total,Belarus,2003,5260849,197
Females,Total,Belarus,2004,5238879,198
Females,Total,Belarus,2005,5216991,199
Females,Total,Belarus,2006,5195244,200
Females,Total,Belarus,2007,5179429,201
Females,Total,Belarus,2008,5168358,202
Females,Total,Belarus,2009,5160289,203
Females,Total,Belarus,2010,5063266,204
Females,Total,Belarus,2011,5073034,205
Females,Total,Belarus,2012,5066857,206
Females,Total,Belarus,2013,5066314,207
Females,Total,Belarus,2014,5066943,208
Females,Total,Belarus,2015,5071671,209
Females,Total,Belarus,2016,5077522,210
Females,Total,Belarus,2017,5078185,211
Females,Total,Belarus,2018,5070289,212
Females,Total,Belarus,2019,5059429,213
Females,Total,Switzerland,1995,3590651,214
Females,Total,Switzerland,1996,3613512,215
Females,Total,Switzerland,1997,3623725,216
Females,Total,Switzerland,1998,3631222,217
Females,Total,Switzerland,1999,3644848,218
Females,Total,Switzerland,2000,3663736,219
Females,Total,Switzerland,2001,3684357,220
Females,Total,Switzerland,2002,3711304,221
Females,Total,Switzerland,2003,3738824,222
Females,Total,Switzerland,2004,3762609,223
Females,Total,Switzerland,2005,3786406,224
Females,Total,Switzerland,2006,3806626,225
Females,Total,Switzerland,2007,3829380,226
Females,Total,Switzerland,2008,3866480,227
Females,Total,Switzerland,2009,3915181,228
Females,Total,Switzerland,2010,3955240,229
Females,Total,Switzerland,2011,3992708,230
Females,Total,Switzerland,2012,4032409,231
Females,Total,Switzerland,2013,4070536,232
Females,Total,Switzerland,2014,4117540,233
Females,Total,Switzerland,2015,4163786,234
Females,Total,Switzerland,2016,4205655,235
Females,Total,Switzerland,2017,4246113,236
Females,Total,Switzerland,2018,4277696,237
Females,Total,Switzerland,2019,4307406,238
Females,Total,Switzerland,2020,4337170,239
Females,Total,Switzerland,2021,4367701,240
Females,Total,Switzerland,2022,4400588,241
Females,Total,Switzerland,2023,4435432,242
Females,Total,Switzerland,2024,4510726,243
Females,Total,Cyprus,1995,325432,244
Females,Total,Cyprus,1996,331524,245
Females,Total,Cyprus,1997,337118,246
Females,Total,Cyprus,1998,342190,247
Females,Total,Cyprus,1999,346537,248
Females,Total,Cyprus,2000,350842,249
Females,Total,Cyprus,2001,354797,250
Females,Total,Cyprus,2002,359361,251
Females,Total,Cyprus,2003,363583,252
Females,Total,Cyprus,2004,368331,253
Females,Total,Cyprus,2005,373746,254
Females,Total,Cyprus,2006,379431,255
Females,Total,Cyprus,2007,386402,256
Females,Total,Cyprus,2008,395875,257
Females,Total,Cyprus,2009,407004,258
Females,Total,Cyprus,2010,419535,259
Females,Total,Cyprus,2011,430993,260
Females,Total,Cyprus,2012,443018,261
Females,Total,Cyprus,2013,444842,262
Females,Total,Cyprus,2014,440462,263
Females,Total,Cyprus,2015,435183,264
Females,Total,Cyprus,2016,435627,265
Females,Total,Cyprus,2017,438139,266
Females,Total,Cyprus,2018,442728,267
Females,Total,Cyprus,2019,448068,268
Females,Total,Cyprus,2020,453534,269
Females,Total,Cyprus,2021,458357,270
Females,Total,Cyprus,2022,463622,271
Females,Total,Cyprus,2023,483955,272
Females,Total,Cyprus,2024,490771,273
Females,Total,Czechia,1995,5312697,274
Females,Total,Czechia,1996,5304829,275
Females,Total,Czechia,1997,5297052,276
Females,Total,Czechia,1998,5290395,277
Females,Total,Czechia,1999,5284186,278
Females,Total,Czechia,2000,5277036,279
Females,Total,Czechia,2001,5249667,280
Females,Total,Czechia,2002,5235670,281
Females,Total,Czechia,2003,5230950,282
Females,Total,Czechia,2004,5228205,283
Females,Total,Czechia,2005,5228199,284
Females,Total,Czechia,2006,5233925,285
Females,Total,Czechia,2007,5243638,286
Females,Total,Czechia,2008,5278305,287
Females,Total,Czechia,2009,5309105,288
Females,Total,Czechia,2010,5325922,289
Females,Total,Czechia,2011,5339500,290
Females,Total,Czechia,2012,5347235,291
Females,Total,Czechia,2013,5351776,292
Females,Total,Czechia,2014,5350039,293
Females,Total,Czechia,2015,5361348,294
Females,Total,Czechia,2016,5367513,295
Females,Total,Czechia,2017,5378133,296
Females,Total,Czechia,2018,5390264,297
Females,Total,Czechia,2019,5405606,298
Females,Total,Czechia,2020,5421943,299
Females,Total,Czechia,2021,5323934,300
Females,Total,Czechia,2022,5332932,301
Females,Total,Czechia,2023,5519006,302
Females,Total,Czechia,2024,5557945,303
Females,Total,Germany,1995,41893638,304
